Task ID,Phase,Day Start,Day End,Owner,Task,Description,Depends On,Acceptance Criteria
T1,Phase 1 - Foundation,1,3,Intern,Set up new project structure,"Create app/, core/, db/, data/, config/, tests/ folders per architecture plan; relocate app.py -> app/main.py, utils.py logic into core/chains/retrieval.py, move CSVs into data/. Update imports so the app still runs.",None,"App runs via `streamlit run app/main.py` with no import errors; existing MENTORING/SCP/PROJECTS/KATHA options still load."
T2,Phase 1 - Foundation,1,2,Vivek,Create v2-makeover branch,"Create the new branch off main; confirm branch name and PR target with team.",None,Branch exists and is pushed; confirmed in Slack/verbally with team.
T3,Phase 1 - Foundation,1,3,Vivek,OpenRouter account + API key setup,"Sign up for OpenRouter, generate API key, add OPENROUTER_API_KEY to .env / secrets, test one manual API call.",None,"A test curl/python call to OpenRouter's chat completions endpoint returns a valid response."
T4,Phase 2 - Core Build,2,5,Intern,Design + implement DB models,"SQLAlchemy models for sessions, queries, feedback, prompts, model_config per schema in ARCHITECTURE_PLAN.md Section 5. Include Alembic migration setup.",T1,"`alembic upgrade head` creates query_hub.db with all 5 tables; models importable from db/models.py."
T5,Phase 2 - Core Build,3,6,Vivek,Build OpenRouter LLM client factory,"core/llm/client.py: factory function reading active model_config row, returning a configured ChatOpenAI client pointed at OpenRouter base_url.",T3,"Client factory returns a working ChatOpenAI instance; a test call against it succeeds using an OpenRouter model."
T6,Phase 2 - Core Build,4,7,Intern,Prompt seed script (stage split),"data/seed_prompts.py: parse the 12 sections of mitra_system_prompt (already in prompts.py) into stage-tagged rows per the stage table in ARCHITECTURE_PLAN.md Section 3.4, insert into prompts table.",T4,"Running the script populates prompts table with one active row per stage key; row count and stage_key values match the plan's table."
T7,Phase 2 - Core Build,4,6,Vivek,MItra DB connection + table descriptions,"Wire the confirmed MItra database into get_db_credentials/get_chain equivalent as a 5th dataset option; produce table_desc_mitra.csv.",None (external info Vivek already owns),"Selecting MITRA in the sidebar successfully runs a test SQL query against the real MItra DB."
T8,Phase 2 - Core Build,6,9,Intern,Feedback UI widget,"app/components/feedback_widget.py: thumbs up/down + optional comment box shown after each AI response, writes to feedback table via feedback_repo.",T4,"Clicking up/down (and optionally submitting a comment) creates a row in feedback linked to the correct query_id."
T9,Phase 2 - Core Build,6,9,Vivek,Prompt Assembler,"core/chains/interpretation.py: PromptAssembler fetches active rows per applicable stage key from prompts table and concatenates into the final system prompt sent to the LLM.",T6,"For a short factual question, only always-on stages are included; for an exploratory question, executive_structure is also included. Verified by inspecting the assembled prompt string."
T10,Phase 2 - Core Build,7,9,Intern,Repository layer,"db/repositories/: query_repo, feedback_repo, prompt_repo, session_repo with basic CRUD + the specific lookups needed (e.g. get_active_prompt_by_stage, get_history_for_session).",T4,"Each repo has passing unit tests for create/read operations used by the rest of the app."
T11,Phase 2 - Core Build,8,10,Intern,Query/response logging,"Wire every chain invocation to write a row to queries (query_id, session_id, timestamp, user_query, generated_sql, ai_response, dataset_option) via query_repo.",T10,"Every question asked in the UI produces exactly one new row in queries with all fields populated."
T12,Phase 2 - Core Build,8,10,Vivek,Session-backed context retention,"core/context/history.py: replace Streamlit-only session_state history with history loaded from queries table for the current session_id, fed into MessagesPlaceholder.",T11,"Asking 'How many stories in Bihar in June?' then 'What about Karnataka?' in the same session correctly carries over month context; history also survives a page refresh."
T13,Phase 3 - Integration,10,12,Intern,Unit tests,"tests/ covering db models, repositories, and prompt assembly logic.",T6;T9;T10,"`pytest` passes with meaningful coverage of db/ and core/chains/interpretation.py."
T14,Phase 3 - Integration,11,13,Intern,Documentation,"README.md: setup instructions (env vars, DB init via alembic, running the app), plus a short doc on adding a new prompt stage or model config row.",T1;T4,"A contributor unfamiliar with the project can get the app running locally using only the README."
T15,Phase 3 - Integration,11,13,Vivek,Integrate both tracks,"Merge intern's DB/prompt-store/feedback work with OpenRouter client + Prompt Assembler + context retention into one working chain end-to-end.",T5;T7;T8;T9;T11;T12,"Full chat flow works end-to-end for all 5 dataset options using OpenRouter, with logging and feedback capture active."
T16,Phase 3 - Integration,13,15,Vivek + Intern,End-to-end testing + PR,"Test all 5 datasets, test at least 2 different OpenRouter models via model_config swap, fix bugs found, open PR from v2-makeover into main.",T15,"PR opened with a test summary covering all 5 datasets and at least 2 models; no known blocking bugs."
