Table,Description
tenant,"Stores the organizations (tenants) using the MItra platform. Includes tenant id, name, unique code, who created it, timestamps, and a flexible metadata JSON field. Currently holds a single tenant, code 'mitra'. All other tables reference a tenant via tenant_code to scope data per organization."
programs,"Stores named initiatives run within a tenant, such as 'Shiksha Chaupals'. Includes program id, a link to the leader category responsible for it (leaders_id), name, description, tenant code, and timestamps. Submissions are linked to a program via submissions.program_id."
leader_category,"Reference table of community leader categories (e.g. 'Women leader (WL)') used to classify who a program or submission is associated with. Includes id, name, description, tenant code, and timestamps."
submissions,"The central fact table: one row per story or discussion submission collected from the field. Records the submission type (story or discussion), the submitting user (user_id, user_name, role), location (state, district), organization, linked program (program_id) and leader category (leader_id), submission date, processing status (process_status JSON, status), and timestamps. Joins to story_submissions/discussion_submissions (via submission_id) for full content, and to submission_metrics/analysis_results/ranking/llm_logs for derived data. Currently contains 220 rows, all from Bihar/Patna (110 story + 110 discussion)."
story_submissions,"Holds the full content of Micro-Improvement (MI) story submissions: title, objective, challenge (array), action steps taken (array), impact, duration, a short blurb, full content text, associated media (image/PDF URLs and their blurred/masked versions), a transcript link, and PII-masking flags/timestamps. One row per story-type submission, linked via submission_id to the submissions table."
discussion_submissions,"Holds the full content of community discussion submissions (Chaupals in Bihar, Chavadis in Karnataka): title, challenges raised (array), solutions discussed (array), author, language, associated media (image/PDF URLs and masked versions), a transcript link, and PII-masking flags/timestamps. One row per discussion-type submission, linked via submission_id to the submissions table."
metric_definitions,"Reference table defining the numeric/text metrics that can be recorded against a submission (e.g. counts of men, women, children, and teachers attending a discussion). Includes a metric code, display label, value type, which submission_type it applies to, and whether it's active."
submission_metrics,"Stores individual metric values recorded against a submission (e.g. how many women attended a given discussion), referencing a metric_code from metric_definitions. Includes both a numeric_value and a text_value column depending on the metric's value type. Linked to submissions via submission_id."
themes,"Reference taxonomy of thematic categories used to tag and group the underlying issues raised in submissions (e.g. 'Poverty and Economic Barriers', 'Early Marriage', 'School Infrastructure and Facility Issues', 'Safety Concerns'). Includes a name, definition, associated keywords, example phrasing, and an approval status."
analysis_results,"Stores AI-generated thematic and content analysis for each submission: which theme it maps to (theme_id), the analysis type (e.g. 'theme'), extracted statements and their type, an 'improvement_environment' field, similarity and confidence scores, a justification for the classification, whether it mapped to multiple themes, and a category_type (e.g. Standard, Flagged, Others) used to separate normal findings from ones needing review. Linked to submissions via submission_id."
ranking,"Stores AI-generated quality/impact ranking for each submission: a criteria_data JSON breakdown, an overall composite_score, a qualitative tier (e.g. 'Excellent', 'Good'), and an overall_summary. Linked to submissions via submission_id."
llm_logs,"Audit log of every LLM call made by the ingestion/analysis pipeline for a given submission: which model and version was used, the analysis type performed, which prompt version was used, token usage (prompt/completion/total), call status, and any error message. Useful for tracing how a given analysis_results or ranking row was produced, and for monitoring LLM cost/reliability."
prompts,"Registry of named LLM prompt templates used by the ingestion/analysis pipeline (not the chat interface) - e.g. 'Theme Classification', 'Story Rating', 'PII and Abusive-Language Detection' - each tagged with the analysis_type it drives."
prompt_version,"Version history for each prompt in the prompts table: the actual system_prompt and user_prompt text for that version, whether it's currently active, who created it, and a change note. Provides an audit trail of prompt engineering changes over time."
csv_uploads,"Tracks bulk CSV import jobs used to load submission data into the system: report type, program name, leader category, uploaded file name/size, its cloud storage path, processing status, and timestamps. Currently empty - no bulk imports have been run yet."
